year,quarter,geo_type,geo_name,geo_pname,hover_over,reg_users,app_opens
2018,3,STA,andhra pradesh,india,CON,5427617,0
2018,3,STA,tripura,india,CON,116874,0
2018,3,STA,lakshadweep,india,CON,918,0
2018,3,STA,manipur,india,CON,61935,0
2018,3,STA,maharashtra,india,CON,10435033,0
2018,3,STA,dadra & nagar haveli & daman & diu,india,CON,92107,0
2018,3,STA,meghalaya,india,CON,37281,0
2018,3,STA,andaman & nicobar islands,india,CON,12149,0
2018,3,STA,haryana,india,CON,3020398,0
2018,3,STA,rajasthan,india,CON,5175453,0
2018,3,STA,ladakh,india,CON,17749,0
2018,3,STA,punjab,india,CON,1473148,0
2018,3,STA,assam,india,CON,784802,0
2018,3,STA,jharkhand,india,CON,1532362,0
2018,3,STA,odisha,india,CON,2795718,0
2018,3,STA,bihar,india,CON,3784535,0
2018,3,STA,kerala,india,CON,1347598,0
2018,3,STA,karnataka,india,CON,6372649,0
2018,3,STA,chandigarh,india,CON,143893,0
2018,3,STA,telangana,india,CON,5138501,0
2018,3,STA,himachal pradesh,india,CON,407634,0
2018,3,STA,west bengal,india,CON,4851740,0
2018,3,STA,gujarat,india,CON,4433183,0
2018,3,STA,sikkim,india,CON,37637,0
2018,3,STA,nagaland,india,CON,32090,0
2018,3,STA,mizoram,india,CON,14502,0
2018,3,STA,chhattisgarh,india,CON,1217792,0
2018,3,STA,jammu & kashmir,india,CON,342529,0
2018,3,STA,goa,india,CON,153802,0
2018,3,STA,arunachal pradesh,india,CON,45922,0
2018,3,STA,delhi,india,CON,3504911,0
2018,3,STA,uttarakhand,india,CON,810612,0
2024,1,STA,puducherry,india,CON,631663,3299001
2024,1,STA,tamil nadu,india,CON,30638750,1089065562
2024,1,STA,uttar pradesh,india,CON,56028765,3113045884
2024,1,STA,madhya pradesh,india,CON,28238554,4395383187
2024,1,STA,andhra pradesh,india,CON,34008709,1080185103
2024,1,STA,tripura,india,CON,842135,81407836
2024,1,STA,lakshadweep,india,CON,8578,645375
2024,1,STA,manipur,india,CON,589568,59758762
2024,1,STA,maharashtra,india,CON,68016876,3226964743
2024,1,STA,dadra & nagar haveli & daman & diu,india,CON,615863,5967100
2024,1,STA,meghalaya,india,CON,365452,207128767
2024,1,STA,andaman & nicobar islands,india,CON,108411,28538751
2024,1,STA,haryana,india,CON,18248263,356852975
2024,1,STA,rajasthan,india,CON,33505514,4728118557
2024,1,STA,ladakh,india,CON,130070,16503075
2024,1,STA,punjab,india,CON,10286964,448478973
2024,1,STA,assam,india,CON,6510156,1381009332
2024,1,STA,jharkhand,india,CON,10118149,1389086946
2024,1,STA,odisha,india,CON,17393166,1247351109
2024,1,STA,bihar,india,CON,26765201,945228349
2024,1,STA,kerala,india,CON,12553296,173276966
2024,1,STA,karnataka,india,CON,43668141,2186015502
2024,1,STA,chandigarh,india,CON,754849,2680802
2024,1,STA,telangana,india,CON,31082447,933319286
2024,1,STA,himachal pradesh,india,CON,3050141,231634797
2024,1,STA,west bengal,india,CON,31306843,633526507
2024,1,STA,gujarat,india,CON,27381972,2391800188
2024,1,STA,sikkim,india,CON,293821,19584360
2024,1,STA,nagaland,india,CON,398630,46485081
2024,1,STA,mizoram,india,CON,165126,50294364
2024,1,STA,chhattisgarh,india,CON,8394140,1290951432
2024,1,STA,jammu & kashmir,india,CON,2195803,342579321
2024,1,STA,goa,india,CON,1035050,31168316
2024,1,STA,arunachal pradesh,india,CON,482393,143597043
2024,1,STA,delhi,india,CON,19067147,80302941
2024,1,STA,uttarakhand,india,CON,5202251,264812749
2019,1,STA,puducherry,india,CON,133059,0
2019,1,STA,tamil nadu,india,CON,6296303,0
2019,1,STA,uttar pradesh,india,CON,12458661,0
2019,1,STA,madhya pradesh,india,CON,6414403,0
2019,1,STA,andhra pradesh,india,CON,8283019,0
2019,1,STA,tripura,india,CON,183254,0
2019,1,STA,lakshadweep,india,CON,1416,0
2019,1,STA,manipur,india,CON,99527,0
2019,1,STA,maharashtra,india,CON,16284451,0
2019,1,STA,dadra & nagar haveli & daman & diu,india,CON,140532,0
2019,1,STA,meghalaya,india,CON,61487,0
2019,1,STA,andaman & nicobar islands,india,CON,18596,0
2019,1,STA,haryana,india,CON,4538767,0
2019,1,STA,rajasthan,india,CON,7712204,0
2019,1,STA,ladakh,india,CON,29649,0
2019,1,STA,punjab,india,CON,2226590,0
2019,1,STA,assam,india,CON,1259085,0
2019,1,STA,jharkhand,india,CON,2279329,0
2019,1,STA,odisha,india,CON,4320744,0
2019,1,STA,bihar,india,CON,5745117,0
2019,1,STA,kerala,india,CON,2136624,0
2019,1,STA,karnataka,india,CON,10266174,0
2019,1,STA,chandigarh,india,CON,209175,0
2019,1,STA,telangana,india,CON,7963425,0
2019,1,STA,himachal pradesh,india,CON,653205,0
2019,1,STA,west bengal,india,CON,7449425,0
2019,1,STA,gujarat,india,CON,6652536,0
2019,1,STA,sikkim,india,CON,58956,0
2019,1,STA,nagaland,india,CON,53911,0
2019,1,STA,mizoram,india,CON,23670,0
2019,1,STA,chhattisgarh,india,CON,1908898,0
2019,1,STA,jammu & kashmir,india,CON,530669,0
2019,1,STA,goa,india,CON,238152,0
2019,1,STA,arunachal pradesh,india,CON,76957,0
2019,1,STA,delhi,india,CON,5499263,0
2019,1,STA,uttarakhand,india,CON,1224955,0
2019,2,STA,puducherry,india,CON,156458,661932
2019,2,STA,tamil nadu,india,CON,7429609,33658961
2019,2,STA,uttar pradesh,india,CON,14316349,78394040
2019,2,STA,madhya pradesh,india,CON,7301172,50642151
2019,2,STA,andhra pradesh,india,CON,9389003,81375251
2019,2,STA,tripura,india,CON,217644,953627
2019,2,STA,lakshadweep,india,CON,1747,4580
2019,2,STA,manipur,india,CON,117747,464829
2019,2,STA,maharashtra,india,CON,18776975,109967705
2019,2,STA,dadra & nagar haveli & daman & diu,india,CON,158580,860686
2019,2,STA,meghalaya,india,CON,74746,395764
2019,2,STA,andaman & nicobar islands,india,CON,21731,52640
2019,2,STA,haryana,india,CON,5178030,31929195
2019,2,STA,rajasthan,india,CON,8783935,62787336
2019,2,STA,ladakh,india,CON,35516,157317
2019,2,STA,punjab,india,CON,2600112,10928094
2019,2,STA,assam,india,CON,1500128,7350326
2019,2,STA,jharkhand,india,CON,2604854,14929066
2019,2,STA,odisha,india,CON,4845359,33955545
2019,2,STA,bihar,india,CON,6589759,39607022
2019,2,STA,kerala,india,CON,2550167,8673220
2019,2,STA,karnataka,india,CON,11968087,113024811
2019,2,STA,chandigarh,india,CON,240439,1220176
2019,2,STA,telangana,india,CON,9046007,80842302
2019,2,STA,himachal pradesh,india,CON,772603,3321711
2019,2,STA,west bengal,india,CON,8612795,49514201
2019,2,STA,gujarat,india,CON,7574645,34890301
2019,2,STA,sikkim,india,CON,70999,398520
2019,2,STA,nagaland,india,CON,66891,362497
2019,2,STA,mizoram,india,CON,28696,133025
2019,2,STA,chhattisgarh,india,CON,2191066,13206373
2019,2,STA,jammu & kashmir,india,CON,631193,2705373
2019,2,STA,goa,india,CON,278940,1352232
2019,2,STA,arunachal pradesh,india,CON,95885,502873
2019,2,STA,delhi,india,CON,6165448,43731570
2019,2,STA,uttarakhand,india,CON,1414339,7454279
2019,3,STA,puducherry,india,CON,177868,2476922
2019,3,STA,tamil nadu,india,CON,8428835,124690342
2019,3,STA,uttar pradesh,india,CON,16044607,268142606
2019,3,STA,madhya pradesh,india,CON,8180664,192353380
2019,3,STA,andhra pradesh,india,CON,10458693,310953542
2019,3,STA,tripura,india,CON,245456,3350991
2019,3,STA,lakshadweep,india,CON,2117,15038
2019,3,STA,manipur,india,CON,136316,1594205
2019,3,STA,maharashtra,india,CON,21313081,439998413
2019,3,STA,dadra & nagar haveli & daman & diu,india,CON,176929,3126189
2019,3,STA,meghalaya,india,CON,87395,1387814
2019,3,STA,andaman & nicobar islands,india,CON,23931,171107
2019,3,STA,haryana,india,CON,5783752,118332587
2019,3,STA,rajasthan,india,CON,9797304,238338999
2019,3,STA,ladakh,india,CON,39173,503126
2019,3,STA,punjab,india,CON,2962713,40860886
2019,3,STA,assam,india,CON,1731523,25393673
2019,3,STA,jharkhand,india,CON,2915511,55504460
2019,3,STA,odisha,india,CON,5387209,130181456
2019,3,STA,bihar,india,CON,7380265,126521298
2019,3,STA,kerala,india,CON,2990963,31471694
2019,3,STA,karnataka,india,CON,13635075,445683660
2019,3,STA,chandigarh,india,CON,267337,4625196
2019,3,STA,telangana,india,CON,10090557,318124511
2019,3,STA,himachal pradesh,india,CON,876184,10720741
2019,3,STA,west bengal,india,CON,9643222,176559011
2019,3,STA,gujarat,india,CON,8429299,129441484
2019,3,STA,sikkim,india,CON,82128,1316804
2019,3,STA,nagaland,india,CON,80077,1244022
2019,3,STA,mizoram,india,CON,34134,457834
2019,3,STA,chhattisgarh,india,CON,2435058,46362341
2019,3,STA,jammu & kashmir,india,CON,658455,3843919
2019,3,STA,goa,india,CON,317194,4753892
2019,3,STA,arunachal pradesh,india,CON,112149,1811700
2019,3,STA,delhi,india,CON,6782286,163381027
2019,3,STA,uttarakhand,india,CON,1585859,24660988
2019,4,STA,puducherry,india,CON,204292,3263122
2019,4,STA,tamil nadu,india,CON,9620493,155011717
2019,4,STA,uttar pradesh,india,CON,17949542,324068625
2019,4,STA,madhya pradesh,india,CON,9165241,237844976
2019,4,STA,andhra pradesh,india,CON,11757883,411201518
2019,4,STA,tripura,india,CON,272298,3610807
2019,4,STA,lakshadweep,india,CON,2427,17760
2019,4,STA,manipur,india,CON,155358,1855488
2019,4,STA,maharashtra,india,CON,23745297,543654112
2019,4,STA,dadra & nagar haveli & daman & diu,india,CON,197598,3770543
2019,4,STA,meghalaya,india,CON,100030,1490542
2019,4,STA,andaman & nicobar islands,india,CON,25960,177012
2019,4,STA,haryana,india,CON,6366679,136721888
2019,4,STA,rajasthan,india,CON,10925031,288904693
2019,4,STA,ladakh,india,CON,43108,470440
2019,4,STA,punjab,india,CON,3321742,47673880
2019,4,STA,assam,india,CON,1941220,26599449
2019,4,STA,jharkhand,india,CON,3281371,70181789
2019,4,STA,odisha,india,CON,6115537,189905719
2019,4,STA,bihar,india,CON,8342274,163998097
2019,4,STA,kerala,india,CON,3503938,40046033
2019,4,STA,karnataka,india,CON,15385416,569674870
2019,4,STA,chandigarh,india,CON,289590,4960441
2019,4,STA,telangana,india,CON,11220691,399239044
2019,4,STA,himachal pradesh,india,CON,985945,12637904
2019,4,STA,west bengal,india,CON,10885058,244326613
2019,4,STA,gujarat,india,CON,9323799,147973757
2019,4,STA,sikkim,india,CON,92972,1552004
2019,4,STA,nagaland,india,CON,93124,1454551
2019,4,STA,mizoram,india,CON,39809,529168
2019,4,STA,chhattisgarh,india,CON,2725900,57278977
2019,4,STA,jammu & kashmir,india,CON,673367,998572
2019,4,STA,goa,india,CON,353546,6290543
2019,4,STA,arunachal pradesh,india,CON,129321,2140340
2019,4,STA,delhi,india,CON,7289883,172682671
2019,4,STA,uttarakhand,india,CON,1752677,28853867
2020,1,STA,puducherry,india,CON,230908,3820943
2020,1,STA,tamil nadu,india,CON,10872368,179908753
2020,1,STA,uttar pradesh,india,CON,20136256,374282083
2020,1,STA,madhya pradesh,india,CON,10151371,262452480
2020,1,STA,andhra pradesh,india,CON,13022060,486513773
2020,1,STA,tripura,india,CON,299962,4063223
2020,1,STA,lakshadweep,india,CON,2772,21982
2020,1,STA,manipur,india,CON,177374,2175642
2020,1,STA,maharashtra,india,CON,26168390,615146568
2020,1,STA,dadra & nagar haveli & daman & diu,india,CON,218496,4195122
2020,1,STA,meghalaya,india,CON,113814,1716211
