year,quarter,geo_type,geo_name,geo_pname,hover_over,stat_type,count,amount
2018,3,STA,madhya pradesh,india,CON,TOTAL,17126985,24149742204.67322
2018,3,STA,andhra pradesh,india,CON,TOTAL,25626061,35718044599.21416
2018,3,STA,tripura,india,CON,TOTAL,377703,453863388.04059243
2018,3,STA,lakshadweep,india,CON,TOTAL,1703,4339032.3119858485
2018,3,STA,manipur,india,CON,TOTAL,189258,383331244.79412293
2018,3,STA,maharashtra,india,CON,TOTAL,31538538,52260817733.24835
2018,3,STA,dadra & nagar haveli & daman & diu,india,CON,TOTAL,289575,447639595.67817545
2018,3,STA,meghalaya,india,CON,TOTAL,110290,209853661.534394
2018,3,STA,andaman & nicobar islands,india,CON,TOTAL,16265,55557471.134311125
2018,3,STA,haryana,india,CON,TOTAL,8262024,16375139007.627962
2018,3,STA,rajasthan,india,CON,TOTAL,14257098,24040768671.21296
2018,3,STA,ladakh,india,CON,TOTAL,24864,84090977.14484604
2018,3,STA,punjab,india,CON,TOTAL,3462108,7065687043.821183
2018,3,STA,assam,india,CON,TOTAL,2351851,3811134989.9142637
2018,3,STA,jharkhand,india,CON,TOTAL,8122621,8661571417.704563
2018,3,STA,odisha,india,CON,TOTAL,30052155,23094515775.585762
2018,3,STA,bihar,india,CON,TOTAL,14367804,20135804378.90174
2018,3,STA,kerala,india,CON,TOTAL,3134348,5323025223.875498
2018,3,STA,karnataka,india,CON,TOTAL,25980261,48225091755.807724
2018,3,STA,chandigarh,india,CON,TOTAL,616936,1369354447.5343108
2018,3,STA,telangana,india,CON,TOTAL,19332703,32030093209.72354
2018,3,STA,himachal pradesh,india,CON,TOTAL,886754,1754041432.8580248
2018,3,STA,west bengal,india,CON,TOTAL,53705416,41843934183.17763
2018,3,STA,gujarat,india,CON,TOTAL,11334149,17866404426.27552
2018,3,STA,sikkim,india,CON,TOTAL,108500,235080226.9533177
2018,3,STA,nagaland,india,CON,TOTAL,94371,241792742.93665323
2018,3,STA,mizoram,india,CON,TOTAL,39316,116600738.1253902
2018,3,STA,chhattisgarh,india,CON,TOTAL,3859604,6302307073.446348
2018,3,STA,jammu & kashmir,india,CON,TOTAL,2303961,3934700999.457677
2018,3,STA,goa,india,CON,TOTAL,339511,713166969.2382338
2018,3,STA,arunachal pradesh,india,CON,TOTAL,131146,331726406.7413912
2018,3,STA,delhi,india,CON,TOTAL,18547048,27375846860.618507
2018,3,STA,uttarakhand,india,CON,TOTAL,2229132,3726573039.858514
2018,4,STA,puducherry,india,CON,TOTAL,307964,625691665.4234949
2018,4,STA,tamil nadu,india,CON,TOTAL,22457444,43302073975.890976
2018,4,STA,uttar pradesh,india,CON,TOTAL,36100767,55096743575.91497
2018,4,STA,madhya pradesh,india,CON,TOTAL,21397555,33905608072.96478
2018,4,STA,andhra pradesh,india,CON,TOTAL,30759548,51473779406.840416
2018,4,STA,tripura,india,CON,TOTAL,448059,624885599.4644469
